annee;sex;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104; 105 ou +
1936;M;312247;314090;312530;332889;332663;342770;332526;338736;336360;346589;351115;344062;349056;354006;369696;374098;224966;202193;177318;168199;209972;318778;323982;326343;305447;328463;329807;337707;335390;342873;341087;338929;340810;348744;344938;340993;324735;306334;296836;286735;241996;238911;239773;227102;233982;228989;230376;228307;228239;227533;227316;219668;215518;213986;212775;207095;213862;210994;211560;214933;206400;198402;187964;189217;151274;161677;153187;139904;138003;134331;122108;113478;107726;97468;89506;80859;74431;60020;50208;45739;37943;31520;26131;22643;18158;14272;10010;7785;4839;3415;2573;1855;1086;786;521;279;146;82;46;33;75;0;0;0;0;0
1937;M;304648;300958;311683;311526;332153;332145;342076;331557;337712;335427;346019;345714;341254;350888;357080;367956;366799;223787;204325;179567;170403;209415;317327;324002;327149;306201;330056;330432;337352;334306;340871;341733;339128;339909;346870;342342;340252;322340;303744;294010;283378;239994;236756;237328;224700;231071;226142;228252;225449;225306;224086;223866;216330;211779;210170;208513;202684;209593;206035;206514;208864;200479;192521;181775;182563;145354;154741;146364;132487;130779;126393;114151;105290;99369;89424;81037;72884;66200;52967;43714;39198;32044;26166;21366;18270;14356;11047;7533;5678;3494;2487;1769;1268;739;490;349;279;84;52;56;0;0;0;0;0;0
1938;M;299910;294295;298727;310987;310971;331629;331799;341463;330681;336744;334498;345456;340340;338543;352704;360118;366090;359450;222457;206391;181786;172624;208868;316050;323968;327889;306936;331511;330928;337076;333011;338929;342303;339147;338754;344959;339594;339383;319880;301032;291040;280094;237992;234611;234957;222079;228192;223140;225924;222454;222091;220615;220353;212814;208021;206197;204195;198022;204982;200852;201009;202771;194494;186446;175534;175534;139224;147716;139385;124833;123406;118572;106329;97515;91275;81678;73085;65512;58604;46478;37899;33585;26803;21580;17466;14685;11287;8452;5637;4158;2501;1746;1252;852;490;316;232;190;50;40;0;0;0;0;0;0
1939;M;280405;275821;280965;282609;294483;295043;314670;314679;323935;313445;318907;316986;328008;320592;320998;337684;345974;347003;335634;210727;198311;175093;166403;198280;299579;307669;312209;292227;316329;314845;319715;315143;319934;325595;322220;321629;326614;320889;322440;302242;283419;273837;263028;224212;220893;221639;209277;214827;209838;213152;209012;208689;206876;206595;199455;195092;193039;190852;184707;191459;187518;187611;188359;180621;172625;162562;162065;128033;135191;127100;112639;111629;106408;94976;87100;80693;72167;63484;57458;49569;39430;31953;27500;21342;16900;14208;11081;8512;6125;3993;2925;1760;1389;907;521;320;185;137;121;48;0;0;0;0;0;0
1940;M;285400;274161;276195;282319;284360;296741;297165;316718;316749;325997;314866;320258;318328;329809;317704;320357;341598;351217;345529;328957;209041;199568;176543;167665;196204;296824;305582;310168;289794;315165;312525;316215;310577;313829;320907;316954;315130;319331;312799;315657;296888;278004;268475;257459;219402;216409;217310;205730;210673;205874;208712;205180;205141;202058;202970;195929;191366;189395;186918;180379;187260;182778;182964;183099;175366;167281;156193;156157;122835;128863;120572;108664;104726;98769;86867;80494;72942;65929;56652;52274;42602;34600;27983;23291;17392;13421;12113;8486;6534;4516;2938;2147;1283;1287;663;340;230;119;80;65;0;0;0;0;0;0
1941;M;255400;270609;269508;272885;279321;281712;294323;294738;313984;314148;323020;311725;316919;314931;326692;310215;314994;340241;350918;339197;308684;166053;123414;107057;103220;114422;176241;183532;191306;186570;209549;216823;226084;227702;235053;246182;249084;254868;265390;267523;280205;288749;270033;260236;249116;212592;209944;210455;198874;203401;198045;201731;197779;197452;194009;194482;187973;183216;180810;177860;171026;178007;175011;174621;173918;165978;158120;146751;146017;114306;118372;110657;98582;94633;88135;77096;69279;62992;54896;46524;40860;34434;26313;20425;17094;12698;9546;7619;5614;4105;2730;1680;1121;665;483;329;174;110;59;47;0;0;0;0;0;0
1942;M;237400;247052;268716;268859;272278;278725;281371;294425;294624;313759;314056;322543;310974;316068;314023;325972;305169;311993;341453;353127;337124;301621;168581;133133;116308;111778;122917;188609;197084;204518;197935;221482;226786;234650;234549;240673;253166;254768;258464;267220;267387;280535;283812;265061;255194;243572;208384;205780;205899;194218;198629;193014;196945;192776;191858;188560;188694;182212;177262;174723;171400;164575;172057;168637;167757;166335;158276;150227;138988;137653;107069;109881;102213;90132;85791;79184;68393;60749;54511;46938;39112;33953;27925;20867;15910;13149;9509;6900;5379;3888;2707;1786;1035;709;405;308;186;100;69;56;0;0;0;0;0;0
1943;M;264300;230932;245201;267623;268308;271671;278128;281030;294425;294508;313433;313762;321967;309926;314724;312720;324654;299571;303774;336802;348473;328497;290108;164515;134407;117429;112705;123036;188560;196724;203314;195679;219841;222630;229815;228670;234115;247488;248479;251643;259070;258208;271553;271660;253528;243809;232180;198526;196358;197034;185873;190985;186213;191414;188873;187865;183914;184003;177545;172002;169229;165739;158634;165974;161849;160551;158250;150142;141881;130779;128534;99013;100986;93418;81341;76774;70308;59802;52385;46519;39140;32210;27443;22171;16182;12010;9667;6898;4853;3700;2619;1737;1136;630;452;246;175;116;57;74;0;0;0;0;0;0
1944;M;282700;254950;228730;242547;264826;265843;269254;275526;278673;292390;292370;310890;311250;319189;306899;311407;309342;315261;269810;260330;259123;261019;279182;267776;158900;137585;121517;116729;125895;192921;201641;208425;200264;224403;225682;231645;229560;234246;249249;249260;251036;257261;255002;269337;266315;248276;238398;227494;194395;192266;192473;181324;186234;181410;186974;183860;182649;178172;177998;171850;166026;162821;159472;152112;159146;154443;153001;149962;141779;133486;122225;119470;91548;92490;84779;73286;68408;62013;51760;44805;39338;32607;26293;22145;17623;12526;9093;7189;4996;3457;2603;1805;1157;723;394;279;145;107;78;73;0;0;0;0;0;0
1945;M;290400;276831;255193;229548;242195;264932;266092;269447;275630;278934;293097;292756;311266;311557;319012;306154;310269;307851;312951;263078;254801;255957;259196;273983;262193;158883;141391;125361;120626;128052;196583;206077;213384;204159;228924;229295;234419;231367;235274;251986;251314;252175;257268;253984;269182;263774;245416;235573;224490;192173;189883;189813;178572;183376;178298;184253;180650;179240;174329;173595;167658;161853;158921;155007;147485;152998;147629;145923;142173;133996;125247;114139;110462;84069;84293;76401;65377;60390;53897;44729;38217;33030;26898;21049;17537;13618;9420;6612;5101;3518;2369;1690;1176;711;451;233;143;78;58;70;0;0;0;0;0;0
